Country,Venue,Latitude,Longitude
Australia,Melbourne,-37.8497,144.9680
China,Shanghai,31.3389,121.2215
Japan,Suzuka,34.8431,136.5410
Bahrain,Sakhir,26.0325,50.5106
Saudi Arabia,Jeddah,21.6319,39.1044
USA,Miami,25.9580,-80.2389
Canada,Montreal,45.5000,-73.5228
Monaco,Monaco,43.7347,7.4205
Spain,Barcelona-Catalunya,41.5700,2.2611
Austria,Spielberg,47.2197,14.7647
Great Britain,Silverstone,52.0786,-1.0169
Belgium,Spa-Francorchamps,50.4372,5.9714
Hungary,Budapest,47.5830,19.2476
Netherlands,Zandvoort,52.3888,4.5409
Italy,Monza,45.6156,9.2811
Spain,Madrid,40.4660,-3.6170
Azerbaijan,Baku,40.3725,49.8533
Singapore,Singapore,1.2914,103.8640
USA,Austin,30.1328,-97.6411
Mexico,Mexico City,19.4042,-99.0907
Brazil,Sao Paulo,-23.7036,-46.6997
USA,Las Vegas,36.1147,-115.1630
Qatar,Lusail,25.4888,51.4542
Abu Dhabi,Yas Marina,24.4672,54.6031
